Area	Still needed
Real-time	Learner messaging, typing indicators, study-group updates, and learner notifications still use polling or normal API calls. Only the admin badge stream uses WebSockets.
Study groups	No teacher invitations/members, no group live-streaming, and no real-time typing. Current implementation deliberately limits membership to classmates; this conflicts with the original “classmates and teachers” wording.
Messages	Direct learner-to-learner messaging from the Messages page is intentionally not available; learners can message teachers/support and communicate with classmates through study groups.
Admin timetable	Category hierarchy and editable slots are implemented, but timetable PDF export is still missing.
Student profile	The requested editable Country, City, Address, Date of Birth, profile-photo flow, and platform calendar need a complete learner-facing implementation/audit.
Student report cards	Admin-side report-card generation exists, but I did not find a learner-facing report-card page that displays only published First/Second/Third-term cards.
Class videos	Recording/video infrastructure exists, but the requested YouTube-style thumbnail grid with autoplay-preview behaviour needs confirmation/implementation.
Exams	MCQ auto-marking and structural marking are implemented. Re-write enablement needs confirmation as a teacher-facing action rather than just configuring attempt limits when creating an exam.
Notifications	Learner-side real-time notification delivery and sidebar notification badges beyond the existing routes need completion.
Testing	The full test command exceeded the 124-second execution limit. TypeScript checks pass, but tests should be run in smaller API and web scopes and any failures fixed.
